Fichier,Algorithme,Nœuds Explorés,Durée(ms),Ouvert,Fermé,Statut
taquin_2x4.grid,DFS,20160,1051,0,20160,OK
taquin_2x4.grid,BFS,20160,533,0,20160,OK
taquin_2x4.grid,BEST_FIRST,20160,1145,0,20160,OK
taquin_2x4.grid,BEST_FIRST_MISPLACED,20160,1616,0,20160,OK
taquin_2x4.grid,BEST_FIRST_LINEAR,20160,800,0,20160,OK
taquin_2x4b.grid,DFS,598,15,270,597,OK
taquin_2x4b.grid,BFS,5172,79,1329,5171,OK
taquin_2x4b.grid,BEST_FIRST,314,0,160,313,OK
taquin_2x4b.grid,BEST_FIRST_MISPLACED,796,15,343,795,OK
taquin_2x4b.grid,BEST_FIRST_LINEAR,38,0,26,37,OK
taquin_2x4c.grid,DFS,4065,95,1698,4064,OK
taquin_2x4c.grid,BFS,7263,141,1676,7262,OK
taquin_2x4c.grid,BEST_FIRST,159,0,79,158,OK
taquin_2x4c.grid,BEST_FIRST_MISPLACED,510,0,233,509,OK
taquin_2x4c.grid,BEST_FIRST_LINEAR,39,0,23,38,OK
taquin_2x4d.grid,DFS,14715,769,2908,14714,OK
taquin_2x4d.grid,BFS,11951,329,1969,11950,OK
taquin_2x4d.grid,BEST_FIRST,158,0,79,157,OK
taquin_2x4d.grid,BEST_FIRST_MISPLACED,303,0,138,302,OK
taquin_2x4d.grid,BEST_FIRST_LINEAR,91,0,50,90,OK
taquin_3x3.grid,DFS,26,0,22,25,OK
taquin_3x3.grid,BFS,53,0,40,52,OK
taquin_3x3.grid,BEST_FIRST,6,0,6,5,OK
taquin_3x3.grid,BEST_FIRST_MISPLACED,6,0,6,5,OK
taquin_3x3.grid,BEST_FIRST_LINEAR,6,0,6,5,OK
taquin_3x3b.grid,DFS,50000,68262,32486,49999,LIMIT
taquin_3x3b.grid,BFS,50000,18819,18373,49999,LIMIT
taquin_3x3b.grid,BEST_FIRST,103,10,73,102,OK
taquin_3x3b.grid,BEST_FIRST_MISPLACED,1363,22,853,1362,OK
taquin_3x3b.grid,BEST_FIRST_LINEAR,83,0,56,82,OK
taquin_3x3c.grid,DFS,50000,44655,32489,49999,LIMIT
taquin_3x3c.grid,BFS,50000,16993,18417,49999,LIMIT
taquin_3x3c.grid,BEST_FIRST,104,0,73,103,OK
taquin_3x3c.grid,BEST_FIRST_MISPLACED,228,0,165,227,OK
taquin_3x3c.grid,BEST_FIRST_LINEAR,68,0,47,67,OK
taquin_3x3d.grid,DFS,50000,35485,32234,49999,LIMIT
taquin_3x3d.grid,BFS,50000,24094,17229,49999,LIMIT
taquin_3x3d.grid,BEST_FIRST,50000,24451,12348,49999,LIMIT
taquin_3x3d.grid,BEST_FIRST_MISPLACED,50000,48364,21881,49999,LIMIT
taquin_3x3d.grid,BEST_FIRST_LINEAR,50000,33218,14227,49999,LIMIT
taquin_3x4.grid,DFS,50000,115883,48179,49999,LIMIT
taquin_3x4.grid,BFS,50000,62446,37408,49999,LIMIT
taquin_3x4.grid,BEST_FIRST,50000,102801,34982,49999,LIMIT
taquin_3x4.grid,BEST_FIRST_MISPLACED,50000,147031,38117,49999,LIMIT
taquin_3x4.grid,BEST_FIRST_LINEAR,50000,119334,34918,49999,LIMIT
taquin_3x4b.grid,DFS,50000,81740,48229,49999,LIMIT
taquin_3x4b.grid,BFS,50000,41273,37421,49999,LIMIT
taquin_3x4b.grid,BEST_FIRST,299,0,284,298,OK
taquin_3x4b.grid,BEST_FIRST_MISPLACED,647,16,574,646,OK
taquin_3x4b.grid,BEST_FIRST_LINEAR,40,0,40,39,OK
taquin_3x4c.grid,DFS,50000,71797,48179,49999,LIMIT
